"full_name","company_name","job_title"
"Deborah Theobald","VecnaCares","Executive Director"
"William LeGate","Ponder","Founder"
"Wilson Wang","International Rescue Committee","Senior Clinical Advisor"
"Harley Miller","Insight Partners","Senior Associate"
"Christina  Milian","French Girls","Investor & Advisor"
"Vishal Gurbuxani","Team in Residence","Founder"
"Joon Lee","SK Telecom Americas","Vice President"
"Roy Malkin","Silicon Allee","Associate Editor"
"Charles Moldow","Foundation Capital","General Partner"
"Kent Madsen","EPIC Ventures","Managing Director"
"Hilton Tam","Bright Success Capital","CEO"
"Diane Brady","Freelance","Various"
"Peter Drees","Square 1 Bank","Managing Director"
"Philip Korn","Square 1 Bank","Managing Director"
"Manish Patel","Highland Capital Partners","Partner"
"Chris Eben","The Working Group","Managing Partner"
"Min Park","SK Telecom Ventures","General Partner"
"Jeremiah Daly","Highland Capital Partners","Partner"
"Susan Liu","Scale Venture Partners","Senior Associate"
"Rick Yang","NEA","Partner"
"Andrew Carton","Mobile Nations","Co-Founder/President"
"Tim Moran","Precedo Capital Group","Managing Member"
"Donald Basile","BizzBlizz","CEO"
"Eric Klein","Lemnos Labs","Partner"
"Fred Toney","Launchpad Digital Health","CEO & Founder"
"Mark Schwartz","Launchpad Digital Health","Partner"
"Lise Buyer","Class V Group","Partner"
"Lance Smith","Primary Data","CEO"
"Sanja Stojanovic","Svet kompjutera (World of computers)","Journalist"
"Ion Stoica","Databricks","Founder"
"Dave Luhr","Wieden & Kennedy","President "
"Chamath Palihapitiya","Social+Capital Partnership","Founder & Managing Partner "
"Chet Pipkin","WeMo","Founder"
"Colleen DeCourcy","Wieden Kennedy","Global Co-Executive Creative Director"
"Vivek  Ravisankar","HackerRank","Co-Founder & CEO"
"Tiki Barber","Thuzio","Co-Founder"
"ML Carr","Kulture City","Partner"
"Bracken Darrell","Logitech","CEO"
"Jeff Hasselman","Comerica Venture Capital Group","Senior Vice President"
"Karan Mehandru Mehandru","Trinity Ventures","General Partner"
"Mina Markham","IBM Design","Front-End Architect"
"Aja Hammerly","Google","Developer Advocate"
"Desi Mcadam","thoughtbot.com","Managing Director"
"Bryan Liles","DigitalOcean","Cloud Engineer "
"Jeff Haynie","Appcelerator","CEO"
"David Padilla","EasyBroker","CTO"
"Amanda Kahlow","6sense","CEO & Founder"
"David York","Top Tier","CEO & Managing Director"
"Curt Cronin","Mastery Technologies","Co-Founder"
